,predictions
0,0
1,0
2,0
3,0
4,1
5,0
6,1
7,0
8,1
9,0
10,0
11,0
12,1
13,0
14,1
15,1
16,0
17,0
18,1
19,1
20,0
21,0
22,1
23,1
24,1
25,0
26,1
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,0
35,0
36,1
37,1
38,0
39,0
40,0
41,0
42,0
43,1
44,1
45,0
46,0
47,0
48,1
49,0
50,0
51,0
52,1
53,1
54,0
55,0
56,0
57,0
58,0
59,1
60,0
61,0
62,0
63,1
64,1
65,1
66,1
67,0
68,0
69,1
70,1
71,0
72,1
73,0
74,1
75,1
76,0
77,1
78,0
79,1
80,0
81,0
82,0
83,0
84,0
85,0
86,1
87,1
88,1
89,0
90,1
91,0
92,1
93,0
94,1
95,0
96,1
97,0
98,1
99,0
100,1
101,0
102,0
103,0
104,1
105,0
106,0
107,0
108,0
109,0
110,0
111,1
112,1
113,1
114,1
115,0
116,0
117,1
118,0
119,1
120,1
121,0
122,1
123,0
124,0
125,1
126,0
127,1
128,0
129,0
130,0
131,0
132,1
133,0
134,0
135,0
136,0
137,0
138,1
139,0
140,0
141,1
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,1
151,0
152,0
153,0
154,0
155,1
156,1
157,0
158,1
159,1
160,0
161,1
162,0
163,0
164,1
165,0
166,0
167,1
168,1
169,0
170,0
171,0
172,0
173,0
174,1
175,1
176,0
177,1
178,1
179,0
180,0
181,1
182,0
183,1
184,0
185,1
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,1
196,1
197,0
198,1
199,1
200,0
201,1
202,1
203,0
204,0
205,1
206,0
207,1
208,0
209,0
210,0
211,0
212,1
213,0
214,0
215,1
216,0
217,1
218,0
219,1
220,0
221,1
222,0
223,1
224,1
225,0
226,1
227,0
228,0
229,0
230,1
231,0
232,0
233,0
234,0
235,0
236,0
237,1
238,1
239,1
240,1
241,0
242,0
243,0
244,0
245,1
246,0
247,1
248,1
249,1
250,0
251,1
252,0
253,0
254,0
255,0
256,0
257,1
258,0
259,0
260,0
261,1
262,1
263,0
264,0
265,0
266,0
267,1
268,0
269,0
270,0
271,1
272,1
273,0
274,1
275,0
276,0
277,0
278,0
279,1
280,0
281,1
282,1
283,1
284,0
285,0
286,0
287,0
288,0
289,0
290,1
291,0
292,0
293,0
294,0
295,1
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,1
304,1
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,1
313,1
314,1
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,1
324,0
325,1
326,0
327,0
328,0
329,1
330,0
331,0
332,1
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,1
343,0
344,1
345,0
346,1
347,0
348,1
349,1
350,0
351,0
352,0
353,1
354,0
355,1
356,0
357,0
358,0
359,0
360,1
361,1
362,0
363,1
364,0
365,0
366,1
367,1
368,0
369,0
370,1
371,0
372,0
373,1
374,1
375,0
376,0
377,0
378,0
379,0
380,0
381,1
382,1
383,0
384,1
385,0
386,0
387,0
388,0
389,1
390,1
391,0
392,0
393,0
394,1
395,0
396,1
397,0
398,0
399,1
400,0
401,1
402,1
403,0
404,0
405,0
406,0
407,1
408,1
409,1
410,1
411,1
412,0
413,1
414,0
415,0
416,0
